buildupArea_sqft,bathrooms,bhk,flat_price,location1,age_of_property,furnishing,bedrooms,balcony,parking
500,1,1 BHK Flat,0.85,Bhayandar West,modern property,Fully Furnished,1,0,yes
900,2,2 BHK Flat,2.7,Mumbai Central,recent construction,Semi Furnished,2,0,yes
1670,4,3 BHK Flat,2.85,Borivali West,new construction,Unfurnished,3,1,yes
980,1,3 BHK Flat,4.1,Goregaon East,recent construction,Semi Furnished,2,0,yes
3500,6,6 BHK Flat,13.25,Powai,recent construction,Semi Furnished,6,3,yes
500,1,1 BHK Flat,0.75,Malad West,modern property,Semi Furnished,1,0,yes
1395,3,3 BHK Flat,4.75,Borivali East,new construction,Semi Furnished,3,0,yes
955,2,2 BHK Flat,3.65,Sion,recent construction,Unfurnished,2,1,yes
395,1,1 BHK Flat,1.35,Andheri East,new construction,Semi Furnished,1,0,yes
550,2,1 BHK Flat,0.29,Virar West,recent construction,Semi Furnished,1,2,yes
858,2,2 BHK Flat,1.4,Mulund East,modern property,Semi Furnished,2,0,no
780,2,2 BHK Flat,1.9,Powai,recent construction,Unfurnished,2,0,yes
1800,3,3 BHK Flat,1.45,Goregaon East,modern property,Unfurnished,3,3,yes
800,1,1 BHK Flat,2.75,Worli,recent construction,Fully Furnished,1,0,yes
1100,3,3 BHK Flat,3,Kanjurmarg East,new construction,Unfurnished,3,0,yes
750,2,2 BHK Flat,0.45,Nalasopara West,recent construction,Semi Furnished,2,2,yes
890,1,2 BHK Flat,1,Thane West,recent construction,Semi Furnished,2,0,yes
950,2,2 BHK Flat,3.38,Dadar East,recent construction,Semi Furnished,2,1,yes
585,1,1 BHK Flat,1.21,Wadala East,modern property,Semi Furnished,1,0,no
1890,3,3 BHK Flat,5.5,Matunga East,new construction,Semi Furnished,3,1,yes
1462,1,3 BHK Flat,6.2,Lower Parel,new construction,Semi Furnished,3,0,yes
570,3,2 BHK Flat,1.25,Andheri West,modern property,Fully Furnished,2,0,no
802,2,1 BHK Flat,1.25,Kandivali East,new construction,Unfurnished,1,0,yes
3400,3,3 BHK Flat,8,Bandra West,modern property,Semi Furnished,3,2,yes
905,2,2 BHK Flat,4.75,Churchgate,mid age property,Semi Furnished,2,0,yes
850,1,2 BHK Flat,0.49,Naigaon East,recent construction,Semi Furnished,2,4,yes
1800,3,3 BHK Flat,5.5,Andheri West,modern property,Semi Furnished,3,0,yes
2880,3,4 BHK Flat,8,Sion,recent construction,Unfurnished,4,1,yes
1125,1,2 BHK Flat,0.9,Vasai West,recent construction,Semi Furnished,2,0,yes
1100,2,2 BHK Flat,3.25,Agripada,new construction,Unfurnished,2,1,yes
540,1,1 BHK Flat,0.92,Dahisar East,mid age property,Semi Furnished,1,0,yes
500,1,1 BHK Flat,0.25,Naigaon East,recent construction,Unfurnished,1,2,yes
550,2,1 BHK Flat,1,Kandivali East,modern property,Semi Furnished,1,0,no
650,2,2 BHK Flat,1.2,Kanjurmarg West,recent construction,Unfurnished,2,0,yes
1800,2,3 BHK Flat,7,Bandra East,recent construction,Unfurnished,3,0,yes
610,2,1 BHK Flat,0.34,Virar West,recent construction,Semi Furnished,1,2,yes
1400,3,3 BHK Flat,2.65,Kandivali East,modern property,Semi Furnished,3,0,yes
950,2,2 BHK Flat,1.7,Dahisar West,recent construction,Unfurnished,2,0,yes
890,2,2 BHK Flat,1.55,Chembur,new construction,Unfurnished,2,0,yes
1050,2,2 BHK Flat,1.75,Malad West,recent construction,Unfurnished,2,0,yes
1400,2,2 BHK Flat,2.85,Chembur,modern property,Unfurnished,2,1,yes
1000,2,2 BHK Flat,1.87,Kandivali East,modern property,Fully Furnished,2,0,yes
2170,4,4 BHK Flat,6.6,Mulund West,recent construction,Semi Furnished,4,1,yes
661,2,2 BHK Flat,1.72,Kanjurmarg West,recent construction,Semi Furnished,2,0,yes
1650,4,4 BHK Flat,4.5,Govandi,recent construction,Semi Furnished,4,0,yes
1250,3,3 BHK Flat,2.56,Bhandup West,recent construction,Semi Furnished,3,1,yes
735,2,2 BHK Flat,1.55,Borivali West,mid age property,Semi Furnished,2,0,yes
880,2,2 BHK Flat,1.45,Bhandup West,new construction,Unfurnished,2,0,yes
890,2,2 BHK Flat,2.75,Matunga East,modern property,Semi Furnished,2,0,yes
1550,3,3 BHK Flat,6.25,Mahalakshmi,new construction,Semi Furnished,3,0,no
1365,3,3 BHK Flat,6.5,Dadar West,recent construction,Semi Furnished,3,0,yes
1500,2,3 BHK Flat,3.75,Sion,recent construction,Unfurnished,3,4,yes
1050,2,2 BHK Flat,1.44,Borivali West,recent construction,Unfurnished,2,0,yes
570,2,1 BHK Flat,1.14,Powai,modern property,Fully Furnished,1,0,no
1250,3,3 BHK Flat,2.7,Dahisar West,modern property,Semi Furnished,3,3,yes
525,2,1 BHK Flat,1,Kandivali East,modern property,Unfurnished,1,0,yes
950,2,2 BHK Flat,3.15,Andheri West,new construction,Fully Furnished,2,0,yes
1070,2,2 BHK Flat,2.5,Powai,recent construction,Semi Furnished,2,0,yes
1320,2,4 BHK Flat,2.1,Kandivali East,modern property,Semi Furnished,4,0,yes
628,2,2 BHK Flat,1.72,Goregaon East,new construction,Unfurnished,2,0,yes
1500,1,3 BHK Flat,6.75,Santacruz West,recent construction,Fully Furnished,3,0,yes
600,2,1 BHK Flat,1.55,Chembur,recent construction,Semi Furnished,1,0,yes
1200,2,2 BHK Flat,6,Santacruz West,modern property,Unfurnished,2,0,yes
2200,3,3 BHK Flat,6,Andheri West,recent construction,Fully Furnished,3,3,yes
1150,3,3 BHK Flat,1.9,Kandivali East,modern property,Semi Furnished,3,0,yes
1020,2,2 BHK Flat,1.8,Borivali West,recent construction,Semi Furnished,2,0,yes
1500,4,3 BHK Flat,3.25,Andheri West,recent construction,Unfurnished,3,1,yes
1350,2,3 BHK Flat,1.9,Mulund West,recent construction,Semi Furnished,3,1,yes
450,2,1 BHK Flat,0.8,Bhandup West,new construction,Semi Furnished,1,0,no
950,2,2 BHK Flat,2,Chembur,new construction,Unfurnished,2,0,yes
650,2,2 BHK Flat,1,Thane West,recent construction,Fully Furnished,2,1,yes
1400,3,2 BHK Flat,9.25,Cuffe Parade,mid age property,Fully Furnished,2,2,yes
750,2,2 BHK Flat,0.42,Virar West,recent construction,Semi Furnished,2,3,yes
988,3,3 BHK Flat,2.08,Malad West,new construction,Unfurnished,3,3,yes
950,2,2 BHK Flat,2.25,Goregaon West,new construction,Fully Furnished,2,0,yes
750,2,2 BHK Flat,1.8,Chembur,recent construction,Unfurnished,2,0,yes
630,1,1 BHK Flat,1.15,Mulund East,modern property,Semi Furnished,1,0,no
1050,2,2 BHK Flat,1.4,Dahisar West,recent construction,Semi Furnished,2,0,yes
650,1,1 BHK Flat,0.29,Virar West,recent construction,Semi Furnished,1,2,yes
1850,3,3 BHK Flat,6.5,Dadar West,recent construction,Fully Furnished,3,0,yes
2500,3,3 BHK Flat,6.8,Bandra West,recent construction,Semi Furnished,3,0,yes
950,2,2 BHK Flat,2.35,Andheri West,mid age property,Fully Furnished,2,0,yes
740,2,2 BHK Flat,2,Goregaon East,recent construction,Semi Furnished,2,0,yes
1750,3,3 BHK Flat,3.35,Goregaon East,recent construction,Semi Furnished,3,3,yes
1010,2,2 BHK Flat,1.85,Kandivali East,recent construction,Unfurnished,2,0,yes
1700,3,3 BHK Flat,2.35,Govandi,recent construction,Semi Furnished,3,1,yes
2140,4,4 BHK Flat,8.4,Byculla,new construction,Unfurnished,4,0,yes
880,2,2 BHK Flat,2.5,Santacruz East,recent construction,Semi Furnished,2,0,yes
830,2,2 BHK Flat,0.55,Virar West,recent construction,Fully Furnished,2,3,yes
1000,2,2 BHK Flat,3.1,Khar West,recent construction,Semi Furnished,2,1,yes
630,2,2 BHK Flat,1.55,Borivali East,new construction,Unfurnished,2,0,yes
600,2,1 BHK Flat,1.05,Goregaon West,modern property,Unfurnished,1,0,no
1500,3,3 BHK Flat,1.5,Mira Road East,recent construction,Semi Furnished,3,1,yes
1800,3,3 BHK Flat,4.5,Andheri West,modern property,Semi Furnished,3,3,yes
2700,6,6 BHK Flat,9,Borivali East,new construction,Semi Furnished,6,0,yes
1250,2,3 BHK Flat,2.6,Mulund West,recent construction,Semi Furnished,3,3,yes
700,2,2 BHK Flat,2.7,Mahim,mid age property,Semi Furnished,2,0,yes
650,1,1 BHK Flat,0.6,Mira Road East,modern property,Unfurnished,1,0,yes
1210,4,3 BHK Flat,3.25,Bhandup West,recent construction,Semi Furnished,3,1,yes
720,2,1 BHK Flat,1.15,Andheri East,recent construction,Fully Furnished,1,3,yes
560,2,2 BHK Flat,1.8,Kanjurmarg West,recent construction,Semi Furnished,2,0,yes
1150,2,2 BHK Flat,2.99,Powai,new construction,Semi Furnished,2,2,yes
950,3,2 BHK Flat,1.4,Kandivali West,recent construction,Semi Furnished,2,0,yes
575,1,1 BHK Flat,0.27,Vasai East,new construction,Unfurnished,1,3,yes
820,1,2 BHK Flat,2.55,Chembur,recent construction,Unfurnished,2,0,yes
750,2,1 BHK Flat,1.3,Chembur,new construction,Semi Furnished,1,0,yes
955,2,2 BHK Flat,1.7,Wadala East,recent construction,Unfurnished,2,0,yes
1556,3,3 BHK Flat,4.7,Andheri West,modern property,Fully Furnished,3,2,yes
1150,3,2 BHK Flat,1,Mira Road East,recent construction,Semi Furnished,2,0,yes
600,2,1 BHK Flat,0.65,Mira Road East,modern property,Semi Furnished,1,1,yes
1000,1,2 BHK Flat,1.55,Bhayandar West,modern property,Semi Furnished,2,0,yes
1023,3,3 BHK Flat,5,Khar West,recent construction,Semi Furnished,3,2,yes
1100,3,3 BHK Flat,2.35,Borivali West,modern property,Semi Furnished,3,0,yes
1200,3,3 BHK Flat,4.5,Borivali East,new construction,Unfurnished,3,0,yes
650,1,1 BHK Flat,0.88,Bhayandar East,new construction,Semi Furnished,1,0,yes
520,1,1 BHK Flat,1.28,Wadala East,recent construction,Semi Furnished,1,0,yes
1800,4,4 BHK Flat,8.5,Santacruz West,modern property,Semi Furnished,4,0,yes
1050,2,2 BHK Flat,3.7,Powai,recent construction,Fully Furnished,2,0,yes
1110,2,2 BHK Flat,1.68,Borivali East,recent construction,Unfurnished,2,0,yes
885,2,2 BHK Flat,4.25,Matunga East,new construction,Semi Furnished,2,0,yes
1500,3,3 BHK Flat,2.3,Kandivali East,recent construction,Unfurnished,3,0,yes
650,2,1 BHK Flat,1.76,Andheri West,recent construction,Unfurnished,1,0,yes
1800,3,3 BHK Flat,1.8,Goregaon East,recent construction,Fully Furnished,3,1,yes
1750,3,3 BHK Flat,3.6,Kandivali East,recent construction,Semi Furnished,3,2,yes
1775,3,3 BHK Flat,4.35,Andheri West,recent construction,Semi Furnished,3,1,yes
920,2,2 BHK Flat,1.34,Mira Road East,new construction,Unfurnished,2,3,no
2200,4,4 BHK Flat,9.45,Vile Parle West,modern property,Fully Furnished,4,0,yes
690,2,1 BHK Flat,0.34,Vasai East,recent construction,Semi Furnished,1,2,yes
950,1,2 BHK Flat,1.35,Bhayandar West,modern property,Semi Furnished,2,0,yes
750,2,1 BHK Flat,0.82,Mira Road East,new construction,Unfurnished,1,1,yes
600,2,1 BHK Flat,1.25,Borivali West,recent construction,Unfurnished,1,0,yes
740,1,2 BHK Flat,3.75,Parel,new construction,Unfurnished,2,0,yes
2350,2,4 BHK Flat,10.5,Dadar East,recent construction,Semi Furnished,4,0,yes
460,1,1 BHK Flat,1.3,Andheri East,mid age property,Fully Furnished,1,2,no
510,1,1 BHK Flat,0.3,Nalasopara West,recent construction,Semi Furnished,1,0,yes
750,1,1 BHK Flat,0.3,Virar West,recent construction,Semi Furnished,1,1,yes
1830,3,2 BHK Flat,3.2,Kandivali East,new construction,Unfurnished,2,0,yes
500,2,1 BHK Flat,0.9,Mulund West,recent construction,Fully Furnished,1,0,no
1360,3,3 BHK Flat,2.15,Sakinaka,recent construction,Semi Furnished,3,1,yes
1000,2,2 BHK Flat,1.85,Powai,modern property,Semi Furnished,2,1,yes
660,1,2 BHK Flat,2.15,Wadala,recent construction,Semi Furnished,2,0,yes
3100,3,4 BHK Flat,8.75,Chembur,recent construction,Semi Furnished,3,1,yes
1250,3,3 BHK Flat,2.57,Borivali West,new construction,Unfurnished,3,0,yes
620,1,1 BHK Flat,0.28,Virar West,recent construction,Unfurnished,1,2,yes
752,2,2 BHK Flat,3.47,Vile Parle East,new construction,Unfurnished,2,0,yes
450,1,1 BHK Flat,1.25,Andheri West,modern property,Fully Furnished,1,0,yes
1300,3,3 BHK Flat,3.7,Jogeshwari West,modern property,Unfurnished,3,0,yes
1250,2,2 BHK Flat,4,Andheri West,recent construction,Fully Furnished,2,3,yes
650,1,2 BHK Flat,2.1,Goregaon West,recent construction,Semi Furnished,2,0,yes
525,1,1 BHK Flat,0.92,Dahisar West,modern property,Unfurnished,1,0,no
1100,2,3 BHK Flat,2.6,Malad East,modern property,Unfurnished,3,0,yes
920,3,2 BHK Flat,1.5,Mulund East,mid age property,Semi Furnished,2,0,no
3000,4,4 BHK Flat,12,Khar West,new construction,Semi Furnished,4,1,yes
1100,2,2 BHK Flat,5,Prabhadevi,mid age property,Semi Furnished,2,0,yes
750,2,2 BHK Flat,1.4,Chembur,recent construction,Semi Furnished,2,0,yes
1200,2,2 BHK Flat,2.4,Goregaon East,recent construction,Semi Furnished,2,0,yes
900,2,2 BHK Flat,1.85,Dahisar East,recent construction,Semi Furnished,2,0,yes
1050,2,2 BHK Flat,2.35,Andheri West,recent construction,Unfurnished,2,1,yes
1100,2,2 BHK Flat,3.25,Andheri West,modern property,Unfurnished,2,0,yes
450,1,1 BHK Flat,0.53,Malad West,recent construction,Semi Furnished,1,0,yes
1000,1,3 BHK Flat,2.6,Chembur,recent construction,Semi Furnished,3,0,yes
650,1,1 BHK Flat,0.29,Virar West,recent construction,Unfurnished,1,1,yes
410,2,1 BHK Flat,0.54,Kandivali West,modern property,Unfurnished,1,0,no
1670,3,3 BHK Flat,3.3,Andheri East,recent construction,Fully Furnished,3,0,yes
1004,2,2 BHK Flat,1.6,Mulund West,new construction,Unfurnished,2,0,yes
1020,2,3 BHK Flat,2.5,Malad West,modern property,Unfurnished,3,0,yes
1200,3,3 BHK Flat,3,Borivali West,mid age property,Semi Furnished,3,1,yes
625,2,1 BHK Flat,0.95,Kandivali East,recent construction,Semi Furnished,1,0,yes
1100,3,3 BHK Flat,3,Goregaon East,recent construction,Unfurnished,3,0,yes
710,2,2 BHK Flat,1.68,Mulund East,modern property,Semi Furnished,2,0,yes
700,2,1 BHK Flat,1.1,Chembur,recent construction,Unfurnished,1,0,yes
1050,2,2 BHK Flat,1.05,Mira Road East,recent construction,Unfurnished,2,3,no
500,1,1 BHK Flat,0.24,Naigaon East,recent construction,Unfurnished,1,2,yes
544,1,1 BHK Flat,0.52,Goregaon East,modern property,Fully Furnished,1,0,no
800,2,2 BHK Flat,1.15,Dahisar West,modern property,Unfurnished,2,0,yes
700,2,1 BHK Flat,0.6,Mira Road East,recent construction,Unfurnished,1,3,no
735,2,2 BHK Flat,2.68,Vile Parle East,new construction,Unfurnished,2,0,yes
950,2,2 BHK Flat,1.77,Bhandup West,recent construction,Fully Furnished,2,1,yes
850,2,2 BHK Flat,2.15,Kandivali West,new construction,Fully Furnished,2,0,yes
2149,4,3 BHK Flat,5.95,Parel,new construction,Unfurnished,3,0,yes
1050,2,2 BHK Flat,1.35,Borivali West,modern property,Unfurnished,2,0,yes
600,2,1 BHK Flat,0.97,Powai,modern property,Semi Furnished,1,0,yes
1200,3,3 BHK Flat,3,Dahisar West,new construction,Semi Furnished,3,2,yes
1100,2,2 BHK Flat,2.55,Andheri East,recent construction,Semi Furnished,2,1,yes
683,1,1 BHK Flat,0.9,Bhandup West,recent construction,Semi Furnished,1,0,yes
800,2,1 BHK Flat,1,Mulund East,mid age property,Semi Furnished,1,0,yes
1740,3,3 BHK Flat,9,Santacruz West,recent construction,Semi Furnished,3,0,yes
665,1,1 BHK Flat,0.71,Mira Road East,recent construction,Semi Furnished,1,2,yes
1280,2,3 BHK Flat,1.57,Mulund West,recent construction,Semi Furnished,3,0,yes
1380,3,3 BHK Flat,2.15,Kandivali West,recent construction,Unfurnished,3,0,yes
545,1,1 BHK Flat,0.24,Nalasopara West,recent construction,Semi Furnished,1,1,yes
1515,3,3 BHK Flat,4.68,Borivali East,new construction,Unfurnished,3,0,yes
1200,2,2 BHK Flat,3.1,Wadala East,recent construction,Semi Furnished,2,1,yes
2400,2,3 BHK Flat,7,Santacruz West,modern property,Fully Furnished,3,0,yes
1500,2,2 BHK Flat,4.1,Mazgaon,modern property,Semi Furnished,2,0,yes
696,2,1 BHK Flat,0.78,Mira Road East,new construction,Semi Furnished,1,3,yes
1800,2,4 BHK Flat,8.25,Santacruz West,recent construction,Semi Furnished,4,0,yes
610,1,1 BHK Flat,0.33,Naigaon East,new construction,Unfurnished,1,2,yes
750,2,2 BHK Flat,2.15,Mulund East,recent construction,Semi Furnished,2,0,yes
672,2,2 BHK Flat,0.9,Mira Road East,new construction,Semi Furnished,2,3,no
400,1,1 BHK Flat,0.7,Kandivali East,recent construction,Semi Furnished,1,0,yes
2100,4,5 BHK Flat,5.5,Mulund East,modern property,Fully Furnished,5,1,yes
580,2,1 BHK Flat,2.75,Santacruz West,new construction,Unfurnished,1,0,yes
850,2,2 BHK Flat,0.52,Virar West,recent construction,Semi Furnished,2,3,yes
850,2,2 BHK Flat,1.75,Borivali East,recent construction,Unfurnished,2,0,yes
1150,2,2 BHK Flat,2.95,Kandivali East,recent construction,Unfurnished,2,1,yes
671,2,2 BHK Flat,1.75,Ghatkopar East,new construction,Semi Furnished,2,1,no
1320,2,3 BHK Flat,4.27,Bhandup West,recent construction,Unfurnished,3,1,yes
765,2,3 BHK Flat,2.3,Andheri West,new construction,Semi Furnished,3,0,yes
1010,2,3 BHK Flat,3.6,Mahim,new construction,Semi Furnished,3,1,yes
1250,2,3 BHK Flat,2,Kandivali East,modern property,Fully Furnished,3,0,yes
620,1,1 BHK Flat,1.05,Chembur,recent construction,Unfurnished,1,0,no
900,2,2 BHK Flat,0.43,Virar West,recent construction,Unfurnished,2,0,yes
657,2,1 BHK Flat,0.88,Borivali East,recent construction,Unfurnished,1,2,yes
2030,1,3 BHK Flat,8.5,Colaba,modern property,Semi Furnished,2,0,yes
1810,3,3 BHK Flat,9.5,Byculla,new construction,Semi Furnished,3,1,yes
750,2,1 BHK Flat,1.11,Chembur,modern property,Semi Furnished,1,0,yes
2000,1,3 BHK Flat,8,Matunga East,new construction,Semi Furnished,3,0,yes
1208,3,3 BHK Flat,5.25,Bandra East,modern property,Fully Furnished,3,0,yes
1042,2,2 BHK Flat,4.25,Parel,recent construction,Semi Furnished,2,1,yes
670,2,1 BHK Flat,0.52,Dahisar East,recent construction,Semi Furnished,1,2,yes
1110,3,3 BHK Flat,2.5,Kandivali East,modern property,Semi Furnished,3,1,yes
1950,2,3 BHK Flat,4.85,Powai,modern property,Semi Furnished,3,0,yes
1760,3,3 BHK Flat,5.25,Chembur,new construction,Semi Furnished,3,1,yes
870,2,2 BHK Flat,2.2,Goregaon East,recent construction,Semi Furnished,2,0,yes
600,2,1 BHK Flat,1.15,Borivali West,new construction,Unfurnished,1,0,yes
1600,1,3 BHK Flat,4.5,Parel,recent construction,Semi Furnished,3,0,yes
568,2,1 BHK Flat,1.35,Jogeshwari West,recent construction,Semi Furnished,1,0,yes
844,2,1 BHK Flat,3,Santacruz West,new construction,Unfurnished,1,0,yes
800,2,2 BHK Flat,1.45,Kandivali East,modern property,Semi Furnished,2,0,yes
1400,3,2 BHK Flat,9.75,Malabar Hill,recent construction,Semi Furnished,2,0,yes
1050,2,2 BHK Flat,2.1,Powai,modern property,Semi Furnished,2,1,yes
860,1,2 BHK Flat,0.85,Nalasopara West,recent construction,Fully Furnished,2,3,yes
1030,3,2 BHK Flat,6.5,Cuffe Parade,mid age property,Fully Furnished,2,1,yes
